id;c�digo;nombre;asignatura;taller;investigacion;parcial;definitiva
1;1827117767;Amparo Martinez;POO;0.3;3.88;1.21;1.8
2;5226919831;Seddik Perez;POO;1.83;4.12;4.58;3.51
3;4283835006;Maria Shadow;POO;4.83;2.08;1.21;2.71
4;1397952796;Laarbi Teheran;POO;2.18;0.2;2.42;1.6
5;1071995036;Grietje Rich;POO;4.08;1.42;1.92;2.47
6;1733327624;Nacor Polan;POO;2.41;3.41;0.63;2.15
7;4077588918;Soufia Rufus;POO;0.35;1.95;2.6;1.63
8;467559239;Laura Arias;POO;4.33;1;1.67;2.33
9;1968270582;Rogers Lopez;POO;1.81;2.56;3.36;2.58
10;2328266757;Annalisa Castiblanco;POO;4.55;4.39;0.63;3.19
11;4303798363;Els mano;POO;4.29;3.01;2.09;3.13
12;3489478201;Jimmie Valbuena;POO;4.99;1.52;4.93;3.81
13;2175136747;Braulia Albornoz;POO;2.5;3.9;0.78;2.39
14;2068252090;Salete Garzon;POO;2.68;1.78;1.8;2.09
15;2580839802;Marinel Lips;POO;2.98;0.06;1.46;1.5
16;5078933047;Maimoun Brown;POO;0.61;0.37;0.28;0.42
17;3105014145;Quique Garcia;POO;3.58;3.49;0.42;2.5
18;4254684631;Alexsandro Miller;POO;2.63;0.01;2.43;1.69
19;5276814048;Alta Smith;POO;3.19;0.29;2.17;1.88
20;4623867267;Jessenia Brown;POO;4.24;2.92;4.25;3.8
21;4407378287;Etor Thomas;POO;1.31;4.83;3.77;3.3
22;46724947;Pelegri Lee;POO;3.02;3.33;3.2;3.18
23;1407407153;Isabel Perez;POO;2.28;2.48;4.11;2.96
24;1124259611;Zabulon Thompson;POO;2.92;4.76;4.91;4.2
25;3643260802;Youcef White;POO;0.42;0.19;3.55;1.39
26;3243125824;Dunia Moore;POO;4.41;2.93;3.27;3.54
27;3087312253;Elisabete Sanchez;POO;2;0.14;2.02;1.39
28;327823086;Brahima Harris;POO;1.63;0.56;0.13;0.77
29;5001358007;Danya Clark;POO;1.91;1.43;4.86;2.73
30;3499498843;Bart Taylor;POO;3.1;0.24;3.11;2.15
